idCliente,nome,cpf,cep,sexo
1,Joao,25625458925,13595484,Homem
2,Luiza,25698563251,13484596,Mulher
3,Matheus,23657842507,13484126,Homem
4,Vitoria,10253698512,13484565,Mulher
5,Helena,10658963521,14151122,Mulher
6,Gustavo,12536205212,13626151,Homem
7,Gabriela,25636521452,13595484,Mulher
8,Murilo,10256548495,13595484,Homem
9,Rafaela,13265895325,13484151,Mulher
10,Bianca,12032584523,13626101,Mulher
11,Luca,10236548652,13020266,Homem
12,Elisa,53608668490,13484152,Mulher
13,"Maria Eduarda",52615123256,13484151,Mulher
14,Caio,52365236523,13595151,Homem
15,Laura,53608557890,13484151,Mulher
